,correlations,importance
PKDMainClassName_Manufacture of machinery for food,0.002095819449118084,0.0
PKDMainClassName_Manufacture of machinery for metallurgy,0.002042001144905128,0.0
PKDMainClassName_Manufacture of machinery for mining,0.0036292673644430663,4.4329924326951556e-05
PKDMainClassName_Manufacture of machinery for paper and paperboard production,0.00017451413875896408,0.0
PKDMainClassName_Manufacture of machinery for textile,0.0012691767971683265,0.0
PKDMainClassName_Manufacture of machinery forworking rubber or plastics and for manufacture of the articles from these materials,-0.001903849730635142,0.0
PKDMainClassName_Manufacture of made-up textile articles,-0.0035242952239024467,0.0013067129916995096
PKDMainClassName_Manufacture of margarine and similar edible fats,-0.002388753126573125,0.0
PKDMainClassName_Manufacture of medical and dental instruments and supplies,0.016057742629905638,0.002892597537082732
PKDMainClassName_Manufacture of metal containers,0.0010136660817747438,0.0
PKDMainClassName_Manufacture of metal elements of building woodwork,0.00052927289813762,0.000951566456648981
PKDMainClassName_Manufacture of metal forming machinery,0.0029808011089553317,1.7705387911295216e-08
PKDMainClassName_Manufacture of metal packaging,0.000752969453296002,0.0
PKDMainClassName_Manufacture of metal structures and parts of structures,0.004861828656333093,0.0077744435698384835
PKDMainClassName_Manufacture of mortars,0.0001971178621493075,0.0005340407120341649
PKDMainClassName_Manufacture of motorcycles,0.0005705790765554668,0.0
PKDMainClassName_Manufacture of musical instruments,0.0016512916029859728,1.2517727026396917e-05
PKDMainClassName_Manufacture of non-wovens and articles made from non-wovens,-0.0019068246993788074,4.513458987654331e-05
PKDMainClassName_Manufacture of office machinery and equipment,0.0008521624511076164,0.0
PKDMainClassName_Manufacture of oils and other fluid fats,-0.0004733243148799925,0.0
PKDMainClassName_Manufacture of optical instruments and photographic equipment,0.0009760894934412115,0.00012906698289478016
PKDMainClassName_Manufacture of other articles of concrete,-0.0035048915432753665,1.163901719480596e-05
PKDMainClassName_Manufacture of other articles of paper and paperboard,-0.002605968154962171,0.00029132669053503113
PKDMainClassName_Manufacture of other builders,0.00045921693480896784,0.001983213691699585
PKDMainClassName_Manufacture of other ceramic products,0.0014447346212626269,0.0
PKDMainClassName_Manufacture of other chemical products not elsewhere classified,-0.0007287617458036902,0.0
PKDMainClassName_Manufacture of other electrical equipment,0.006036342954252528,0.0
PKDMainClassName_Manufacture of other electronic and electric wires and cables,-0.0007243591522298338,0.0
PKDMainClassName_Manufacture of other fabricated metal products not elsewhere classified,0.006767796942860227,0.00010983660202848995
PKDMainClassName_Manufacture of other food products not elsewhere classified,-0.0004349672504375602,8.169425380116527e-05
PKDMainClassName_Manufacture of other general-purpose machinery notelsewhere classified,0.00528056205289047,0.0013791128279105832
PKDMainClassName_Manufacture of other inorganic basic chemicals,0.0013477578068733765,0.0
PKDMainClassName_Manufacture of other knitted and crocheted apparel,-0.001862866883755873,5.940289634502884e-05
PKDMainClassName_Manufacture of other mechanical tools,0.0011913760649887963,0.0
PKDMainClassName_Manufacture of other motor vehicles excluding motorcycles,0.0007812642362227983,0.0
PKDMainClassName_Manufacture of other organic basic chemicals,-0.00028766027300804176,0.0
PKDMainClassName_Manufacture of other outerwear,-0.009177005662315408,0.0007354745443126543
PKDMainClassName_Manufacture of other parts and accessories for motor vehicles excluding motorcycles,0.001294019158389569,0.0
PKDMainClassName_Manufacture of other plastic products,0.0035084615914500153,0.0001929676457968402
PKDMainClassName_Manufacture of other products of wood,-0.00376312581183578,0.01724731565660778
PKDMainClassName_Manufacture of other pumps and compressors,-0.0016589818348002338,0.0
PKDMainClassName_Manufacture of other special-purpose machinery notelsewhere classified,0.006779135519653166,6.496138783836042e-05
PKDMainClassName_Manufacture of other tanks,0.0043964695156639855,0.0
PKDMainClassName_Manufacture of other taps and valves,-0.0010192317968311596,0.0
PKDMainClassName_Manufacture of other technical and industrial textiles,0.0012041897403669442,0.0
PKDMainClassName_Manufacture of other technical ceramic products,0.0015977629240056072,0.0
PKDMainClassName_Manufacture of other textiles notelsewhere classified,-0.0009018713069384947,0.00020415250814636286
PKDMainClassName_Manufacture of other transport equipment not elsewhere classified,0.001104497319497363,0.0
PKDMainClassName_Manufacture of other wearing apparel and accessories,-0.003849995463189245,0.001959812494302447
PKDMainClassName_Manufacture of ovens,-0.0003924737354040798,0.0
PKDMainClassName_Manufacture of paints,0.000117797046688298,0.0017717897824557163
PKDMainClassName_Manufacture of paper and paperboard,-0.0006855779499912581,0.0
PKDMainClassName_Manufacture of paper stationery,-0.001476720755355305,0.0
PKDMainClassName_Manufacture of perfumes and toilet preparations,0.0014585703024952495,4.663824032011921e-05
PKDMainClassName_Manufacture of pig iron,-0.00025184167104781366,0.00021682570038464993
PKDMainClassName_Manufacture of plaster products for construction purposes,0.0004402593691380325,0.0
